Category,Sub-Category,Revenue,Cost,Profit,Units,SKUs,Avg_Discount,Margin_Pct,Revenue_Share
Furniture,Bookcases,1466572.2418,1304647.8223,161924.4195,8310,559,0.1537577768560763,11.04,11.6
Furniture,Chairs,1501681.7642,1361285.4967,140396.2675,12336,619,0.1631100757134537,9.35,11.88
Furniture,Furnishings,385578.2559,338610.8304,46967.4255,11225,684,0.15106624605678234,12.18,3.05
Furniture,Tables,757041.9244,821125.3131,-64083.3887,3083,366,0.29073170731707315,-8.46,5.99
Office Supplies,Appliances,1011064.305,869383.7156,141680.5894,6078,558,0.14170940170940172,14.01,8.0
Office Supplies,Art,372091.9659,314138.055,57953.9109,16301,673,0.11736227728855213,15.58,2.94
Office Supplies,Binders,461911.5057,389461.6597,72449.846,21429,742,0.17920676202860858,15.68,3.65
Office Supplies,Envelopes,170904.3016,141303.1853,29601.1163,8380,585,0.13174948665297742,17.32,1.35
Office Supplies,Fasteners,83242.3159,71716.8918,11525.4241,8390,571,0.14059504132231404,13.85,0.66
Office Supplies,Labels,73404.03,58393.518,15010.512,9322,584,0.12044896392939371,20.45,0.58
Office Supplies,Paper,244291.7194,185084.0367,59207.6827,12822,781,0.10946862634256642,24.24,1.93
Office Supplies,Storage,1127085.8614,1018624.3716,108461.4898,16917,648,0.1384641233445345,9.62,8.92
Office Supplies,Supplies,243074.2206,220490.9575,22583.2631,8543,548,0.12791752577319587,9.29,1.92
Technology,Accessories,749237.0185,619610.7123,129626.3062,10946,664,0.12048130081300813,17.3,5.93
Technology,Copiers,1509436.27328,1250868.7251,258567.54818,7454,520,0.11714709851551958,17.13,11.94
Technology,Machines,779060.0671,720192.1941,58867.873,4906,499,0.1695827725437416,7.56,6.16
Technology,Phones,1706824.1392,1490107.1334,216717.0058,11870,692,0.14584748287161156,12.7,13.5
