Discount_Band,Category,Revenue,Profit,Units,Num_Orders,Margin_Pct
0%,Furniture,1925148.16,465612.9564,15205,4496,24.19
0%,Office Supplies,2377811.68,608725.2864,65531,19209,25.6
0%,Technology,2689451.11,696357.0304,18032,5304,25.89
1-10%,Furniture,675426.5784,111361.3533,4137,1073,16.49
1-10%,Office Supplies,554348.52,88086.7018,8911,2387,15.89
1-10%,Technology,732843.74698,138741.20628,4559,1219,18.93
11-20%,Furniture,605961.8175,27993.1506,5359,1448,4.62
11-20%,Office Supplies,437975.1621,59420.4973,12323,3296,13.57
11-20%,Technology,713324.3558,85841.1955,5712,1530,12.03
21-30%,Furniture,314946.8341,-19459.6228,2889,751,-6.18
21-30%,Office Supplies,8737.9029,-596.5371,367,98,-6.83
21-30%,Technology,58869.95228,-1099.4532199999999,423,118,-1.87
31-40%,Furniture,311535.1759,-79124.7234,3584,985,-25.4
31-40%,Office Supplies,145140.024,-35454.916,6259,1685,-24.43
31-40%,Technology,244667.9223,-51535.8093,2572,730,-21.06
41-50%,Furniture,127806.7424,-61623.9117,1150,288,-48.22
41-50%,Office Supplies,146626.0905,-69918.2895,7277,1921,-47.68
41-50%,Technology,200255.47318,-83287.16592,2153,580,-41.59
>50%,Furniture,150048.878,-159554.4786,2630,835,-106.34
>50%,Office Supplies,116430.846,-131788.9086,7514,2677,-113.19
>50%,Technology,105144.93754,-121238.27056,1725,660,-115.31
