Region,Country,Segment,Revenue,Cost,Profit,Units,Orders,Avg_Discount,Margin_Pct
Africa,Algeria,Consumer,19832.4,14930.25,4902.15,230,48,0.0,24.72
Africa,Algeria,Corporate,8305.710000000001,6269.55,2036.16,128,25,0.0,24.52
Africa,Algeria,Home Office,7953.48,5785.29,2168.19,96,20,0.0,27.26
Africa,Angola,Consumer,18477.36,13710.119999999999,4767.24,207,38,0.0,25.8
Africa,Angola,Corporate,2839.2599999999998,2273.7,565.56,59,14,0.0,19.92
Africa,Angola,Home Office,4237.38,3075.21,1162.17,51,8,0.0,27.43
Africa,Benin,Consumer,3536.46,2870.1000000000004,666.36,29,10,0.0,18.84
Africa,Benin,Corporate,2636.25,1961.28,674.97,36,12,0.0,25.6
Africa,Benin,Home Office,39.36,31.5,7.86,1,1,0.0,19.97
Africa,Burundi,Consumer,267.72,164.64000000000001,103.08,4,2,0.0,38.5
Africa,Cameroon,Consumer,12995.85,9735.54,3260.31,109,32,0.0,25.09
Africa,Cameroon,Corporate,4493.94,3409.95,1083.99,70,21,0.0,24.12
Africa,Cameroon,Home Office,4859.58,3539.13,1320.45,49,13,0.0,27.17
Africa,Central African Republic,Consumer,1101.3600000000001,797.16,304.2,9,1,0.0,27.62
Africa,Central African Republic,Corporate,1276.2,1111.86,164.34,6,3,0.0,12.88
Africa,Chad,Home Office,1317.03,1227.03,90.0,11,1,0.0,6.83
Africa,Cote d'Ivoire,Consumer,14079.18,10639.44,3439.7400000000002,123,22,0.0,24.43
Africa,Cote d'Ivoire,Corporate,6260.97,4507.89,1753.08,67,14,0.0,28.0
Africa,Cote d'Ivoire,Home Office,5278.02,4040.2200000000003,1237.8,57,12,0.0,23.45
Africa,Democratic Republic of the Congo,Consumer,57658.770000000004,42779.79,14878.98,545,101,0.0,25.81
Africa,Democratic Republic of the Congo,Corporate,15532.5,11684.73,3847.77,194,54,0.0,24.77
Africa,Democratic Republic of the Congo,Home Office,14225.31,11091.48,3133.83,164,35,0.0,22.03
Africa,Djibouti,Consumer,263.21999999999997,197.60999999999999,65.61,8,2,0.0,24.93
Africa,Djibouti,Corporate,418.11,287.13,130.98,10,1,0.0,31.33
Africa,Djibouti,Home Office,1711.62,1104.12,607.5,13,2,0.0,35.49
Africa,Egypt,Consumer,46580.46,36753.36,9827.1,633,129,0.0,21.1
Africa,Egypt,Corporate,18839.13,14511.539999999999,4327.59,273,63,0.0,22.97
Africa,Egypt,Home Office,18719.73,13172.19,5547.54,217,49,0.0,29.63
Africa,Equatorial Guinea,Consumer,150.51,106.05000000000001,44.46,3,1,0.0,29.54
Africa,Eritrea,Corporate,187.73999999999998,111.53999999999999,76.2,4,1,0.0,40.59
Africa,Ethiopia,Consumer,460.26,283.89,176.37,11,2,0.0,38.32
Africa,Ethiopia,Corporate,251.88,198.45,53.43,5,1,0.0,21.21
Africa,Ethiopia,Home Office,138.48,78.12,60.36,2,1,0.0,43.59
Africa,Gabon,Consumer,1375.5900000000001,960.06,415.53000000000003,39,3,0.0,30.21
Africa,Gabon,Corporate,376.14,312.0,64.14,7,2,0.0,17.05
Africa,Ghana,Consumer,16420.83,12593.64,3827.19,150,34,0.0,23.31
Africa,Ghana,Corporate,4044.18,3001.5,1042.68,62,16,0.0,25.78
Africa,Ghana,Home Office,2807.25,2108.58,698.6700000000001,52,11,0.0,24.89
Africa,Guinea,Consumer,2382.99,1581.72,801.27,26,7,0.0,33.62
Africa,Guinea,Corporate,917.34,864.36,52.980000000000004,5,2,0.0,5.78
Africa,Guinea,Home Office,197.94,100.95,96.99,1,1,0.0,49.0
Africa,Guinea-Bissau,Consumer,1173.15,853.59,319.55999999999995,4,1,0.0,27.24
Africa,Guinea-Bissau,Home Office,892.29,800.4599999999999,91.83,9,3,0.0,10.29
Africa,Kenya,Consumer,9827.7,7491.33,2336.37,106,28,0.0,23.77
Africa,Kenya,Corporate,3782.1,2891.58,890.52,41,16,0.0,23.55
Africa,Kenya,Home Office,3963.33,3198.1200000000003,765.21,77,11,0.0,19.31
Africa,Lesotho,Corporate,6711.99,5313.78,1398.21,23,3,0.0,20.83
Africa,Liberia,Consumer,1478.8500000000001,995.4,483.45000000000005,5,2,0.0,32.69
Africa,Liberia,Corporate,1345.77,977.49,368.28,14,3,0.0,27.37
Africa,Liberia,Home Office,736.26,543.09,193.17,18,2,0.0,26.24
Africa,Libya,Consumer,1981.71,1526.85,454.86,39,10,0.0,22.95
Africa,Libya,Corporate,5041.8,3595.32,1446.48,50,5,0.0,28.69
Africa,Libya,Home Office,784.89,641.7299999999999,143.16,14,3,0.0,18.24
Africa,Madagascar,Consumer,4994.01,3577.56,1416.45,71,13,0.0,28.36
Africa,Madagascar,Corporate,4824.75,3903.39,921.36,48,8,0.0,19.1
Africa,Madagascar,Home Office,2798.79,1840.02,958.77,23,6,0.0,34.26
Africa,Mali,Consumer,5019.3,3919.1099999999997,1100.19,53,13,0.0,21.92
Africa,Mali,Corporate,2610.87,1754.61,856.26,13,6,0.0,32.8
Africa,Mali,Home Office,1284.3,949.1999999999999,335.1,14,3,0.0,26.09
Africa,Mauritania,Consumer,1487.04,1010.6100000000001,476.43,18,5,0.0,32.04
Africa,Mauritania,Corporate,899.16,503.58,395.58,2,1,0.0,43.99
Africa,Mauritania,Home Office,1634.73,830.7900000000001,803.9399999999999,9,2,0.0,49.18
Africa,Morocco,Consumer,37600.32,28182.45,9417.87,500,103,0.0,25.05
Africa,Morocco,Corporate,27372.36,18673.86,8698.5,285,69,0.0,31.78
Africa,Morocco,Home Office,22105.26,17460.21,4645.05,238,44,0.0,21.01
Africa,Mozambique,Consumer,10401.0,7385.52,3015.48,111,25,0.0,28.99
Africa,Mozambique,Corporate,7451.13,5506.0199999999995,1945.11,78,14,0.0,26.1
Africa,Mozambique,Home Office,3450.75,2475.54,975.21,42,10,0.0,28.26
Africa,Namibia,Consumer,2341.3199999999997,1660.62,680.7,11,2,0.0,29.07
Africa,Namibia,Corporate,558.15,501.90000000000003,56.25,19,3,0.0,10.08
Africa,Niger,Consumer,2679.5099999999998,1950.09,729.42,42,9,0.0,27.22
Africa,Niger,Corporate,829.59,589.9499999999999,239.64000000000001,19,5,0.0,28.89
Africa,Niger,Home Office,3413.88,2563.17,850.71,42,3,0.0,24.92
Africa,Nigeria,Consumer,29275.29,73860.66,-44585.37,1088,218,0.7,-152.3
Africa,Nigeria,Corporate,16224.606,40146.36,-23921.754,605,128,0.7,-147.44
Africa,Nigeria,Home Office,8850.456,21094.05,-12243.594000000001,363,76,0.7,-138.34
Africa,Republic of the Congo,Consumer,2339.2799999999997,2171.52,167.76,28,1,0.0,7.17
Africa,Republic of the Congo,Corporate,373.95,260.97,112.97999999999999,2,1,0.0,30.21
Africa,Rwanda,Consumer,3463.2599999999998,2488.71,974.55,46,9,0.0,28.14
Africa,Rwanda,Corporate,1602.21,1249.23,352.98,39,6,0.0,22.03
Africa,Rwanda,Home Office,128.61,119.7,8.91,3,2,0.0,6.93
Africa,Senegal,Consumer,17799.420000000002,13476.75,4322.67,170,32,0.0,24.29
Africa,Senegal,Corporate,9918.9,6964.71,2954.19,71,15,0.0,29.78
Africa,Senegal,Home Office,1130.58,896.28,234.29999999999998,17,9,0.0,20.72
Africa,Sierra Leone,Consumer,1572.1200000000001,1255.71,316.41,15,2,0.0,20.13
Africa,Sierra Leone,Corporate,384.42,316.77,67.65,7,2,0.0,17.6
Africa,Sierra Leone,Home Office,491.13,403.44,87.69,9,2,0.0,17.85
Africa,Somalia,Consumer,6754.08,6098.4,655.68,46,16,0.0,9.71
Africa,Somalia,Corporate,562.8,430.8,132.0,19,8,0.0,23.45
Africa,Somalia,Home Office,868.17,650.58,217.59,30,8,0.0,25.06
Africa,South Africa,Consumer,42387.27,32321.94,10065.33,456,107,0.0,23.75
Africa,South Africa,Corporate,29496.45,23093.579999999998,6402.87,333,73,0.0,21.71
Africa,South Africa,Home Office,23408.55,17940.12,5468.43,249,47,0.0,23.36
Africa,South Sudan,Corporate,378.3,211.86,166.44,1,1,0.0,44.0
Africa,South Sudan,Home Office,667.32,647.4000000000001,19.92,4,1,0.0,2.99
Africa,Sudan,Consumer,11778.9,9006.6,2772.3,130,22,0.0,23.54
Africa,Sudan,Corporate,2241.03,1971.15,269.88,39,13,0.0,12.04
Africa,Sudan,Home Office,2318.64,1741.32,577.3199999999999,28,5,0.0,24.9
Africa,Swaziland,Consumer,204.36,145.20000000000002,59.16,4,1,0.0,28.95
Africa,Swaziland,Home Office,83.67,56.07,27.6,1,1,0.0,32.99
Africa,Tanzania,Consumer,16686.381,13225.14,3461.241,153,31,0.029230769230769234,20.74
Africa,Tanzania,Corporate,7591.056,5689.4400000000005,1901.616,129,30,0.01730769230769231,25.05
Africa,Tanzania,Home Office,2538.702,2173.59,365.112,60,12,0.019354838709677424,14.38
Africa,Togo,Consumer,1087.47,745.5300000000001,341.94,23,8,0.0,31.44
Africa,Togo,Corporate,1539.06,1253.85,285.21,48,8,0.0,18.53
Africa,Togo,Home Office,1519.8899999999999,1330.17,189.72,18,4,0.0,12.48
Africa,Tunisia,Consumer,1480.17,932.58,547.59,18,6,0.0,37.0
Africa,Tunisia,Corporate,251.01,206.85000000000002,44.16,3,2,0.0,17.59
Africa,Tunisia,Home Office,29.61,19.259999999999998,10.35,1,1,0.0,34.95
Africa,Uganda,Consumer,731.952,1941.78,-1209.828,31,11,0.7,-165.29
Africa,Uganda,Corporate,435.222,954.0,-518.778,13,5,0.7,-119.2
Africa,Uganda,Home Office,454.761,1152.24,-697.4789999999999,19,3,0.7,-153.37
Africa,Zambia,Consumer,12453.48,8821.83,3631.65,148,23,0.0,29.16
Africa,Zambia,Corporate,4864.11,3666.27,1197.8400000000001,45,12,0.0,24.63
Africa,Zambia,Home Office,8717.91,6545.67,2172.24,58,11,0.0,24.92
Africa,Zimbabwe,Consumer,1186.506,2845.86,-1659.354,61,15,0.7,-139.85
Africa,Zimbabwe,Corporate,1268.811,3119.19,-1850.379,71,17,0.7,-145.84
Africa,Zimbabwe,Home Office,1309.788,3228.84,-1919.052,58,11,0.6999999999999998,-146.52
Canada,Canada,Consumer,35719.11,26041.41,9677.7,454,102,0.0,27.09
Canada,Canada,Corporate,19313.73,14277.27,5036.46,223,64,0.0,26.08
Canada,Canada,Home Office,11895.33,8792.1,3103.23,156,39,0.0,26.09
Caribbean,Barbados,Consumer,4722.76192,3203.66,1519.10192,42,7,0.00025,32.17
Caribbean,Barbados,Corporate,2262.092,1608.28,653.812,28,4,0.00075,28.9
Caribbean,Barbados,Home Office,189.42000000000002,162.54000000000002,26.880000000000003,6,2,0.0,14.19
Caribbean,Cuba,Consumer,83610.27612,62651.58,20958.69612,1366,186,0.00016430594900849858,25.07
Caribbean,Cuba,Corporate,53309.96728,40937.32,12372.647280000001,861,112,0.0002100840336134454,23.21
Caribbean,Cuba,Home Office,21934.69208,16376.82,5557.87208,490,71,4.511278195488722e-05,25.34
Caribbean,Dominican Republic,Consumer,59520.70992,61373.52,-1852.81008,1312,184,0.23714364640883978,-3.11
Caribbean,Dominican Republic,Corporate,39309.18588,43212.64,-3903.45412,717,107,0.2464536082474227,-9.93
