Product ID,Product Name,Category,Sub-Category,Total_Revenue,Total_Cost,Total_Profit,Total_Units,Avg_Discount,Avg_Price,Transactions,Margin_Pct,Revenue_Sharing,Is_Tail
FUR-ADV-10000002,"Advantus Photo Frame, Duo Pack",Furniture,Furnishings,159.12,98.72999999999999,60.39,3,0.0,53.04,2,37.95,0.001,False
FUR-ADV-10000108,"Advantus Clock, Erganomic",Furniture,Furnishings,350.07,346.71000000000004,3.36,7,0.0,50.01,3,0.96,0.003,False
FUR-ADV-10000183,"Advantus Photo Frame, Black",Furniture,Furnishings,974.832,1626.57,-651.7379999999999,31,0.2375,40.39725,8,-66.86,0.008,False
FUR-ADV-10000188,"Advantus Stacking Tray, Erganomic",Furniture,Furnishings,124.94999999999999,120.75,4.200000000000001,7,0.25999999999999995,18.4926,5,3.36,0.001,False
FUR-ADV-10000190,"Advantus Frame, Duo Pack",Furniture,Furnishings,222.36,117.90000000000002,104.46,2,0.0,111.18,1,46.98,0.002,False
FUR-ADV-10000571,"Advantus Frame, Erganomic",Furniture,Furnishings,2194.7999999999997,1492.7999999999997,702.0,20,0.0,109.74,8,31.98,0.017,False
FUR-ADV-10000600,"Advantus Clock, Duo Pack",Furniture,Furnishings,205.8,181.20000000000002,24.6,4,0.0,51.45,2,11.95,0.002,False
FUR-ADV-10000847,"Advantus Stacking Tray, Black",Furniture,Furnishings,290.73,209.55,81.18,11,0.0,26.43,5,27.92,0.002,False
FUR-ADV-10001283,"Advantus Frame, Black",Furniture,Furnishings,177.792,266.76,-88.968,3,0.35,72.22800000000001,2,-50.04,0.001,False
FUR-ADV-10001440,"Advantus Door Stop, Black",Furniture,Furnishings,959.139,782.76,176.379,22,0.09999999999999999,40.527,7,18.39,0.008,False
FUR-ADV-10001659,"Advantus Light Bulb, Durable",Furniture,Furnishings,147.06,130.20000000000002,16.86,10,0.11666666666666665,15.104999999999999,6,11.46,0.001,False
FUR-ADV-10001855,"Advantus Stacking Tray, Durable",Furniture,Furnishings,89.658,77.04,12.618000000000002,4,0.15,22.4145,4,14.07,0.001,True
FUR-ADV-10002329,"Advantus Light Bulb, Erganomic",Furniture,Furnishings,7.476,17.01,-9.534,1,0.6,7.476,1,-127.53,0.0,True
